A,B,C,D,Volume,Height,H2
7.00,-57.00,3.00,1.00,9.692170,1402.410071,1.843063
8.00,-57.00,3.00,1.00,9.804641,1327.557794,1.737133
9.00,-57.00,3.00,1.00,10.149051,1227.108285,1.654383
10.00,-57.00,3.00,1.00,10.238185,1621.709741,1.984340
0.00,-54.00,3.00,1.00,9.947591,1957.889478,3.850477
1.00,-54.00,3.00,1.00,9.654538,1465.018989,1.905602
2.00,-54.00,3.00,1.00,10.364084,1675.868889,2.359755
3.00,-54.00,3.00,1.00,10.521522,1363.382357,1.807924
4.00,-54.00,3.00,1.00,9.451102,1715.390811,2.090262
5.00,-54.00,3.00,1.00,9.634915,1744.069709,2.314607
6.00,-54.00,3.00,1.00,9.775979,1544.882069,1.993865
7.00,-54.00,3.00,1.00,9.743909,1480.443076,1.921914
8.00,-54.00,3.00,1.00,9.695455,1400.594808,1.810702
9.00,-54.00,3.00,1.00,10.194825,1294.451105,1.722250
10.00,-54.00,3.00,1.00,10.281565,1712.530698,2.076019
0.00,-51.00,3.00,1.00,10.009867,2070.801166,3.976864
1.00,-51.00,3.00,1.00,9.636600,1552.285454,1.993639
2.00,-51.00,3.00,1.00,7.680000,1773.438338,2.458670
3.00,-51.00,3.00,1.00,10.361910,1430.701222,1.877506
4.00,-51.00,3.00,1.00,9.353734,1815.329939,2.190806
5.00,-51.00,3.00,1.00,9.536778,1845.297583,2.416503
6.00,-51.00,3.00,1.00,9.772435,1636.946599,2.086378
7.00,-51.00,3.00,1.00,9.672879,1567.661795,2.010062
8.00,-51.00,3.00,1.00,9.644759,1482.086579,1.892812
9.00,-51.00,3.00,1.00,10.285957,1373.938071,1.802505
10.00,-51.00,3.00,1.00,10.044769,1820.093007,2.184194
0.00,-48.00,3.00,1.00,9.295263,2197.468903,4.118003
1.00,-48.00,3.00,1.00,9.623190,1650.531963,2.092779
2.00,-48.00,3.00,1.00,7.680000,1882.820049,2.569632
3.00,-48.00,3.00,1.00,10.528697,1527.490250,1.976388
4.00,-48.00,3.00,1.00,9.322613,1927.626551,2.303809
5.00,-48.00,3.00,1.00,9.619457,1959.885958,2.533161
6.00,-48.00,3.00,1.00,9.570242,1741.196315,2.192642
7.00,-48.00,3.00,1.00,9.587883,1665.785597,2.109247
8.00,-48.00,3.00,1.00,9.560956,1573.586976,1.985037
9.00,-48.00,3.00,1.00,10.209572,1446.851191,1.873360
