FileName,Clean_Comp_MPa,Clean_Tens_MPa,Max_Disp_mm,Phi_Comp,Gamma_Allie,Omega_Stiff,ALLIE,SEI_J_Index
job_A1_00_B_30_00_C2_00_D1_00.odb,-12.121,2.616,9.114,0.148,0.2303,4.1118,1384.3038,1.4817
job_A1_00_B_30_00_C2_00_D2_00.odb,-6.342,1.204,3.815,0.155,0.4038,9.6561,789.4634,3.3709
job_A1_00_B_30_00_C2_00_D3_00.odb,-10.453,2.266,7.892,0.1549,0.2565,4.7084,1243.0446,1.6895
job_A1_00_B_30_00_C2_00_D4_00.odb,-10.785,2.039,8.134,0.155,0.253,4.5367,1260.1763,1.6317
job_A1_00_B_33_00_C2_00_D1_00.odb,-11.934,2.68,9.337,0.1512,0.2224,3.9705,1433.3805,1.4336
job_A1_00_B_33_00_C2_00_D2_00.odb,-6.753,1.268,4.165,0.1522,0.3634,8.9728,877.2493,3.1312
job_A1_00_B_33_00_C2_00_D3_00.odb,-9.496,2.308,7.9,0.1575,0.2594,4.5979,1229.0441,1.6549
job_A1_00_B_33_00_C2_00_D4_00.odb,-11.013,2.039,8.539,0.157,0.2358,4.2924,1351.9769,1.5461
job_A1_00_B_36_00_C2_00_D1_00.odb,-10.257,2.426,9.346,0.1623,0.2218,3.8536,1436.9956,1.3984
job_A1_00_B_36_00_C2_00_D2_00.odb,-5.906,1.167,3.969,0.1591,0.384,9.1464,830.2272,3.1975
job_A1_00_B_36_00_C2_00_D3_00.odb,-9.855,1.522,8.215,0.1659,0.2397,4.4194,1329.6829,1.5923
job_A1_00_B_36_00_C2_00_D4_00.odb,-10.479,1.791,8.758,0.1701,0.2261,4.1115,1409.8474,1.4875
job_A1_00_B_39_00_C2_00_D1_00.odb,-10.98,2.217,9.838,0.1596,0.2027,3.7352,1572.8862,1.3522
job_A1_00_B_39_00_C2_00_D2_00.odb,-6.09,1.163,3.961,0.1609,0.3825,9.0247,833.421,3.1574
job_A1_00_B_39_00_C2_00_D3_00.odb,-7.922,1.346,7.997,0.1703,0.2501,4.3324,1274.5166,1.5684
job_A1_00_B_39_00_C2_00_D4_00.odb,-9.29,1.744,8.862,0.1727,0.2223,3.9594,1434.1011,1.4369
