FileName,Clean_Comp_MPa,Clean_Tens_MPa,Max_Disp_mm,Phi_Comp,Gamma_Allie,Omega_Stiff,ALLIE,SEI_J_Index
job_A0_00_B_36_00_C3_00_D2_00.odb,-1.928,0.731,2.465,0.36,0.4869,13.8496,654.7438,4.8498
job_A0_00_B_36_00_C3_00_D3_00.odb,-5.456,1.585,4.928,0.3604,0.2857,7.5268,1115.874,2.6971
job_A0_00_B_39_00_C2_00_D1_00.odb,-5.195,1.258,5.468,0.393,0.9407,7.1297,338.8833,2.7929
job_A0_00_B_39_00_C2_00_D2_00.odb,-6.082,1.314,7.265,0.369,0.2182,5.1212,1460.7114,1.8838
job_A0_00_B_39_00_C2_00_D4_00.odb,-3.468,0.636,3.685,0.4346,1.1347,10.2647,280.9411,3.9052
job_A0_00_B_39_00_C3_00_D1_00.odb,-6.729,0.906,5.671,0.3395,0.2288,6.6048,1393.3917,2.3671
job_A0_00_B_39_00_C3_00_D2_00.odb,-1.955,0.762,2.666,0.3569,0.4418,12.8351,721.4932,4.4991
job_A0_00_B_39_00_C3_00_D3_00.odb,-5.304,1.657,4.842,0.3593,0.2887,7.5734,1104.3651,2.7131
job_A0_00_B_42_00_C2_00_D2_00.odb,-5.589,1.387,7.653,0.3639,0.2004,4.854,1590.4111,1.788
job_A0_00_B_42_00_C2_00_D3_00.odb,-9.6,2.495,9.114,0.4422,0.1856,3.9865,1717.7904,1.5227
job_A0_00_B_42_00_C2_00_D4_00.odb,-9.035,1.83,10.439,0.4406,0.1464,3.5822,2176.8518,1.3759
job_A0_00_B_42_00_C3_00_D2_00.odb,-1.949,0.816,3.697,0.3499,0.3834,9.3712,831.5637,3.3345
job_A0_00_B_42_00_C3_00_D3_00.odb,-4.917,1.815,5.01,0.3593,0.2835,7.2745,1124.5126,2.6127
job_A0_00_B_45_00_C2_00_D1_00.odb,-5.374,1.304,5.972,0.3958,0.8103,6.5023,393.431,2.5438
job_A0_00_B_45_00_C2_00_D2_00.odb,-5.071,1.295,7.333,0.3691,0.2009,5.0044,1587.051,1.8396
job_A0_00_B_45_00_C2_00_D4_00.odb,-8.705,1.956,10.943,0.4483,0.1359,3.3754,2345.1445,1.3067
job_A0_00_B_45_00_C3_00_D1_00.odb,-6.959,0.808,5.969,0.3415,0.2181,6.1914,1461.6173,2.2278
job_A0_00_B_45_00_C3_00_D2_00.odb,-1.832,0.817,2.902,0.334,0.4143,11.6859,769.4576,4.1033
job_A0_00_B_45_00_C3_00_D3_00.odb,-4.901,1.865,4.992,0.3615,0.2861,7.2228,1114.2761,2.5972
job_A0_00_B_48_00_C2_00_D1_00.odb,-3.472,1.121,4.087,0.4063,1.2295,8.6801,259.2717,3.4042
job_A0_00_B_48_00_C2_00_D2_00.odb,-4.271,1.251,7.193,0.3637,0.1983,5.0427,1607.603,1.8496
job_A0_00_B_48_00_C2_00_D3_00.odb,-9.282,2.485,9.257,0.4466,0.1739,3.9026,1832.6997,1.4927
job_A0_00_B_48_00_C2_00_D4_00.odb,-8.781,1.919,10.883,0.4512,0.1346,3.3577,2367.6152,1.3014
job_A0_00_B_48_00_C3_00_D1_00.odb,-8.377,0.97,9.21,0.3905,0.1394,4.1627,2287.4287,1.5486
job_A0_00_B_48_00_C3_00_D2_00.odb,-1.839,0.812,2.878,0.3303,0.4336,11.6084,735.2347,4.0829
job_A0_00_B_48_00_C3_00_D3_00.odb,-4.61,1.881,4.896,0.3631,0.295,7.2968,1080.4451,2.6251
job_A0_00_B_51_00_C2_00_D1_00.odb,-5.197,1.25,5.856,0.4026,0.8003,6.5059,398.3062,2.5439
job_A0_00_B_51_00_C2_00_D2_00.odb,-3.975,1.248,7.431,0.3567,0.1861,4.8584,1712.9435,1.7824
job_A0_00_B_51_00_C2_00_D3_00.odb,-8.302,2.301,8.09,0.4479,0.1967,4.3369,1620.9116,1.6439
job_A0_00_B_51_00_C2_00_D4_00.odb,-8.722,1.569,10.807,0.454,0.1336,3.3446,2386.3472,1.2976
job_A0_00_B_51_00_C3_00_D1_00.odb,-6.784,0.976,4.512,0.3534,0.2566,7.8917,1242.2378,2.8056
job_A0_00_B_51_00_C3_00_D2_00.odb,-2.002,0.763,2.981,0.319,0.4168,11.1357,764.8907,3.9176
job_A0_00_B_51_00_C3_00_D3_00.odb,-4.356,1.942,4.874,0.3629,0.2923,7.2468,1090.4194,2.6077
job_A0_00_B_54_00_C2_00_D1_00.odb,-10.224,2.883,11.096,0.41,0.1643,3.1193,1940.022,1.2189
job_A0_00_B_54_00_C2_00_D2_00.odb,-3.804,1.231,7.445,0.3502,0.1805,4.8266,1765.923,1.7679
job_A0_00_B_54_00_C2_00_D3_00.odb,-7.895,2.133,7.117,0.4323,0.218,4.8107,1462.092,1.8021
job_A0_00_B_54_00_C2_00_D4_00.odb,-7.468,1.837,10.697,0.4559,0.133,3.3471,2396.4128,1.2989
job_A0_00_B_54_00_C3_00_D1_00.odb,-6.921,1.041,5.857,0.3505,0.2302,6.1181,1385.0597,2.2106
job_A0_00_B_54_00_C3_00_D2_00.odb,-1.915,0.785,3.022,0.3153,0.4185,10.8584,761.6984,3.8254
job_A0_00_B_54_00_C3_00_D3_00.odb,-4.019,1.947,4.824,0.3627,0.2962,7.2524,1076.2563,2.6107
job_A0_00_B_57_00_C2_00_D1_00.odb,-10.331,2.913,11.552,0.411,0.154,3.0117,2069.7231,1.1803
job_A0_00_B_57_00_C2_00_D2_00.odb,-3.409,1.152,7.174,0.3516,0.1831,4.957,1740.6055,1.8123
job_A0_00_B_57_00_C2_00_D3_00.odb,-7.752,2.182,7.635,0.4282,0.2001,4.5176,1593.3801,1.6981
job_A0_00_B_57_00_C2_00_D4_00.odb,-7.993,1.473,10.084,0.4563,0.1402,3.4971,2273.6975,1.3509
job_A0_00_B_57_00_C3_00_D1_00.odb,-8.479,1.014,9.271,0.3758,0.1296,4.0598,2460.0112,1.5065
job_A0_00_B_57_00_C3_00_D2_00.odb,-2.081,0.859,2.987,0.3162,0.4258,10.8186,748.65,3.815
job_A0_00_B_60_00_C2_00_D1_00.odb,-9.247,2.809,10.192,0.4151,0.178,3.2739,1790.7633,1.2761
job_A0_00_B_60_00_C2_00_D2_00.odb,-3.112,1.188,6.892,0.347,0.1854,5.128,1719.655,1.8679
job_A0_00_B_60_00_C2_00_D3_00.odb,-6.913,2.034,6.546,0.4069,0.2274,5.12,1401.9786,1.8989
job_A0_00_B_60_00_C2_00_D4_00.odb,-6.619,1.755,9.887,0.4606,0.1413,3.5234,2256.1885,1.3613
job_A0_00_B_60_00_C3_00_D1_00.odb,-6.457,1.138,4.275,0.3526,0.2914,7.902,1093.9491,2.8202
job_A0_00_B_60_00_C3_00_D2_00.odb,-2.067,0.925,3.075,0.3199,0.4249,10.4022,750.2847,3.6785
job_A0_00_B_60_00_C3_00_D3_00.odb,-3.515,1.86,5.077,0.3595,0.2937,6.8157,1085.2659,2.4648
job_A0_00_B_60_00_C4_00_D1_00.odb,-6.121,1.016,8.815,0.3226,0.1348,4.2322,2364.3101,1.5476
job_A10_00_B_30_00_C2_00_D3_00.odb,-8.909,0.774,3.663,0.4371,0.4043,9.4999,788.5121,3.4126
job_A1_00_B_30_00_C2_00_D1_00.odb,-12.121,2.616,9.114,0.4351,0.2303,4.1118,1384.3038,1.5765
job_A1_00_B_30_00_C2_00_D2_00.odb,-6.342,1.204,3.815,0.4152,0.4038,9.6561,789.4634,3.4568
job_A1_00_B_30_00_C2_00_D3_00.odb,-10.453,2.266,7.892,0.4315,0.2565,4.7084,1243.0446,1.7808
job_A1_00_B_30_00_C2_00_D4_00.odb,-10.785,2.039,8.134,0.4415,0.253,4.5367,1260.1763,1.7263
job_A1_00_B_33_00_C2_00_D1_00.odb,-11.934,2.68,9.337,0.4391,0.2224,3.9705,1433.3805,1.5286
job_A1_00_B_33_00_C2_00_D2_00.odb,-6.753,1.268,4.165,0.4046,0.3634,8.9728,877.2493,3.2145
job_A1_00_B_33_00_C2_00_D3_00.odb,-9.496,2.308,7.9,0.4451,0.2594,4.5979,1229.0441,1.7498
job_A1_00_B_33_00_C2_00_D4_00.odb,-11.013,2.039,8.539,0.446,0.2358,4.2924,1351.9769,1.6415
job_A1_00_B_36_00_C2_00_D1_00.odb,-10.257,2.426,9.346,0.4536,0.2218,3.8536,1436.9956,1.4946
job_A1_00_B_36_00_C2_00_D2_00.odb,-5.906,1.167,3.969,0.4179,0.384,9.1464,830.2272,3.2829
job_A1_00_B_36_00_C2_00_D3_00.odb,-9.855,1.522,8.215,0.4477,0.2397,4.4194,1329.6829,1.6852
job_A1_00_B_36_00_C2_00_D4_00.odb,-10.479,1.791,8.758,0.4573,0.2261,4.1115,1409.8474,1.5823
job_A1_00_B_39_00_C2_00_D1_00.odb,-10.98,2.217,9.838,0.4416,0.2027,3.7352,1572.8862,1.4453
job_A1_00_B_39_00_C2_00_D2_00.odb,-6.09,1.163,3.961,0.4253,0.3825,9.0247,833.421,3.2447
job_A1_00_B_39_00_C2_00_D3_00.odb,-7.922,1.346,7.997,0.4706,0.2501,4.3324,1274.5166,1.6675
job_A1_00_B_39_00_C2_00_D4_00.odb,-9.29,1.744,8.862,0.47,0.2223,3.9594,1434.1011,1.5351
job_A1_00_B_42_00_C2_00_D1_00.odb,-10.079,2.093,9.761,0.4544,0.2046,3.6666,1558.1404,1.4275
job_A1_00_B_42_00_C2_00_D2_00.odb,-5.624,1.076,3.743,0.4366,0.386,9.3152,825.9217,3.3455
job_A1_00_B_42_00_C2_00_D3_00.odb,-7.656,1.224,8.198,0.4771,0.2411,4.1712,1322.0923,1.6135
job_A1_00_B_42_00_C2_00_D4_00.odb,-9.052,1.66,9.181,0.4633,0.2102,3.8544,1516.4572,1.4942
job_A1_00_B_45_00_C2_00_D1_00.odb,-8.501,1.248,9.542,0.474,0.2106,3.6114,1513.3729,1.4177
job_A1_00_B_45_00_C2_00_D2_00.odb,-5.222,1.071,4.038,0.4424,0.3992,8.3332,798.5288,3.0277
job_A1_00_B_45_00_C2_00_D3_00.odb,-7.253,1.226,7.876,0.4818,0.247,4.2504,1290.6536,1.6431
job_A1_00_B_45_00_C2_00_D4_00.odb,-8.244,1.691,8.941,0.4875,0.219,3.7518,1455.4066,1.4713
job_A1_00_B_48_00_C2_00_D1_00.odb,-7.231,1.971,9.143,0.4925,0.2229,3.5693,1430.0183,1.414
job_A1_00_B_48_00_C2_00_D2_00.odb,-7.0,1.102,4.179,0.4245,0.3438,8.3325,927.127,3.0033
job_A1_00_B_48_00_C2_00_D3_00.odb,-7.481,1.307,7.952,0.4823,0.2407,4.1754,1324.2402,1.6165
job_A1_00_B_48_00_C2_00_D4_00.odb,-7.763,1.533,9.037,0.4952,0.2151,3.6155,1481.8181,1.4275
job_A1_00_B_51_00_C2_00_D1_00.odb,-7.504,1.932,9.218,0.4949,0.2164,3.5298,1473.1057,1.3996
job_A1_00_B_51_00_C2_00_D2_00.odb,-4.561,1.071,3.7,0.4435,0.4364,8.6835,730.5075,3.1559
job_A1_00_B_51_00_C2_00_D3_00.odb,-6.083,1.179,7.415,0.4923,0.2606,4.304,1223.2761,1.6688
job_A1_00_B_51_00_C2_00_D4_00.odb,-8.346,1.586,9.312,0.4884,0.2042,3.5632,1560.9468,1.4044
job_A1_00_B_54_00_C2_00_D1_00.odb,-7.268,1.226,9.158,0.4979,0.2152,3.5094,1481.5122,1.3934
job_A1_00_B_54_00_C2_00_D3_00.odb,-6.212,1.19,7.635,0.4964,0.247,4.1574,1290.3514,1.6173
job_A1_00_B_54_00_C2_00_D4_00.odb,-9.61,1.668,9.742,0.4747,0.1868,3.4458,1706.514,1.3554
job_A1_00_B_57_00_C2_00_D1_00.odb,-7.262,1.247,9.244,0.5005,0.21,3.4464,1517.8746,1.3718
job_A1_00_B_57_00_C2_00_D2_00.odb,-4.635,1.115,3.963,0.4303,0.4293,8.0689,742.5104,2.9464
job_A1_00_B_57_00_C2_00_D3_00.odb,-5.708,1.166,7.35,0.4992,0.2545,4.2299,1252.65,1.6446
job_A1_00_B_57_00_C2_00_D4_00.odb,-7.72,1.569,9.348,0.495,0.1981,3.4252,1609.5164,1.359
job_A1_00_B_60_00_C2_00_D1_00.odb,-7.53,1.353,9.325,0.4928,0.2039,3.4562,1563.5813,1.3704
job_A1_00_B_60_00_C2_00_D2_00.odb,-4.222,1.124,3.613,0.4428,0.452,8.5591,705.2001,3.1198
job_A1_00_B_60_00_C2_00_D3_00.odb,-5.833,1.184,7.47,0.4977,0.2464,4.1504,1293.9241,1.6152
job_A1_00_B_60_00_C2_00_D4_00.odb,-7.14,1.594,9.304,0.5024,0.2012,3.3644,1584.5283,1.3424
job_A2_00_B_30_00_C2_00_D3_00.odb,-4.012,0.889,3.266,0.3404,0.4065,11.3602,784.2408,3.9954
job_A2_00_B_30_00_C2_00_D4_00.odb,-3.22,1.186,3.717,0.3389,0.3507,9.8823,908.9205,3.4887
job_A2_00_B_30_00_C3_00_D1_00.odb,-2.645,1.268,5.142,0.2928,0.2277,7.2801,1400.0616,2.5742
job_A2_00_B_30_00_C3_00_D2_00.odb,-2.537,1.15,5.075,0.3207,0.3703,7.1521,860.8007,2.5882
job_A2_00_B_30_00_C3_00_D3_00.odb,-3.036,1.715,3.773,0.3224,0.3454,9.7156,922.8467,3.4265
job_A2_00_B_33_00_C2_00_D1_00.odb,-5.557,0.898,5.161,0.3451,0.2558,7.2566,1246.395,2.593
job_A2_00_B_33_00_C2_00_D2_00.odb,-1.509,0.668,4.006,0.2622,0.3442,9.0405,926.2712,3.1835
job_A2_00_B_33_00_C2_00_D3_00.odb,-3.503,0.931,2.977,0.3585,0.4371,12.3273,729.3331,4.3305
job_A2_00_B_33_00_C2_00_D4_00.odb,-3.056,1.235,3.592,0.343,0.3382,10.162,942.6118,3.5783
job_A2_00_B_33_00_C3_00_D2_00.odb,-2.458,1.083,5.02,0.3108,0.3458,7.1863,921.9701,2.5882
job_A2_00_B_33_00_C3_00_D3_00.odb,-2.825,1.799,3.529,0.3219,0.3573,10.314,892.174,3.6278
job_A2_00_B_36_00_C2_00_D1_00.odb,-4.774,0.901,4.739,0.3447,0.2727,7.8068,1168.7745,2.78
job_A2_00_B_36_00_C2_00_D2_00.odb,-1.605,0.711,4.015,0.25,0.3536,8.967,901.4413,3.1583
job_A2_00_B_36_00_C2_00_D3_00.odb,-3.395,1.029,3.037,0.3561,0.4021,12.2107,792.7723,4.2798
job_A2_00_B_36_00_C2_00_D4_00.odb,-3.124,1.31,3.644,0.3469,0.3656,9.9638,872.0165,3.5232
job_A2_00_B_36_00_C3_00_D2_00.odb,-2.341,1.05,4.914,0.3112,0.3508,7.2809,908.6668,2.6212
job_A2_00_B_36_00_C3_00_D3_00.odb,-2.302,1.671,3.012,0.325,0.3978,11.7034,801.3878,4.1006
job_A2_00_B_39_00_C2_00_D1_00.odb,-4.075,0.924,4.62,0.3438,0.2545,7.9718,1252.7592,2.8281
job_A2_00_B_39_00_C2_00_D3_00.odb,-3.298,0.99,2.998,0.3623,0.4019,12.0883,793.1263,4.2413
job_A2_00_B_39_00_C2_00_D4_00.odb,-2.944,1.475,3.413,0.3479,0.351,10.5071,908.1759,3.698
job_A2_00_B_39_00_C3_00_D2_00.odb,-2.405,0.981,5.1,0.2939,0.3208,6.9533,993.7411,2.4974
job_A2_00_B_39_00_C3_00_D3_00.odb,-2.127,1.624,3.214,0.3228,0.3862,10.8994,825.3948,3.8308
job_A2_00_B_42_00_C2_00_D1_00.odb,-3.842,0.99,5.212,0.3461,0.2355,7.0491,1353.7513,2.5181
job_A2_00_B_42_00_C2_00_D2_00.odb,-1.599,0.773,4.31,0.2527,0.3208,8.2708,993.7516,2.9186
job_A2_00_B_42_00_C2_00_D3_00.odb,-3.114,0.927,3.2,0.3688,0.3903,11.0628,816.8167,3.9012
job_A2_00_B_42_00_C2_00_D4_00.odb,-2.789,1.41,3.813,0.3472,0.3322,9.3724,959.6069,3.3171
job_A2_00_B_42_00_C3_00_D1_00.odb,-3.046,1.794,5.973,0.2929,0.2068,6.1207,1541.7908,2.1847
job_A2_00_B_42_00_C3_00_D2_00.odb,-2.457,1.011,5.368,0.2889,0.3225,6.5504,988.4519,2.3634
job_A2_00_B_42_00_C3_00_D3_00.odb,-2.202,1.671,3.222,0.316,0.3667,10.9218,869.2441,3.8295
job_A2_00_B_45_00_C2_00_D1_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7689,0.0003,3207539.4088
job_A2_00_B_45_00_C2_00_D2_00.odb,-1.606,0.868,4.71,0.253,0.3177,7.5268,1003.5416,2.6721
job_A2_00_B_45_00_C2_00_D3_00.odb,-2.963,0.961,3.201,0.3632,0.3845,10.979,829.0386,3.8698
job_A2_00_B_45_00_C2_00_D4_00.odb,-2.889,1.442,4.002,0.3362,0.3102,9.0262,1027.4994,3.192
job_A2_00_B_45_00_C3_00_D1_00.odb,-3.015,1.752,6.625,0.2927,0.2429,5.4032,1312.3263,1.9598
job_A2_00_B_45_00_C3_00_D2_00.odb,-2.366,0.92,5.511,0.2826,0.2829,6.3967,1126.9532,2.2975
job_A2_00_B_48_00_C2_00_D1_00.odb,-3.252,0.995,5.452,0.3527,0.23,6.6334,1386.0665,2.3813
job_A2_00_B_48_00_C2_00_D2_00.odb,-1.476,0.886,4.661,0.2525,0.2947,7.5523,1081.6143,2.6728
job_A2_00_B_48_00_C2_00_D3_00.odb,-2.814,1.063,3.644,0.3572,0.3458,9.7536,921.788,3.4507
job_A2_00_B_48_00_C2_00_D4_00.odb,-3.258,1.405,3.92,0.3362,0.3268,9.0695,975.4377,3.2117
job_A2_00_B_48_00_C3_00_D1_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7691,0.0003,3207539.4089
job_A2_00_B_48_00_C3_00_D2_00.odb,-2.488,0.958,5.659,0.284,0.2802,6.2024,1137.5925,2.233
job_A2_00_B_48_00_C3_00_D3_00.odb,-2.237,1.572,3.509,0.305,0.3829,9.8714,832.5404,3.4845
job_A2_00_B_51_00_C2_00_D1_00.odb,-3.185,1.014,5.427,0.3693,0.2158,6.6055,1477.3209,2.3729
job_A2_00_B_51_00_C2_00_D2_00.odb,-1.553,0.996,4.498,0.248,0.2999,7.6707,1062.9447,2.7121
job_A2_00_B_51_00_C2_00_D3_00.odb,-2.61,1.034,3.157,0.3501,0.3641,11.0737,875.5406,3.89
job_A2_00_B_51_00_C2_00_D4_00.odb,-3.021,1.407,4.044,0.3406,0.3737,8.6246,853.0065,3.0818
job_A2_00_B_51_00_C3_00_D1_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7689,0.0003,3207539.4088
job_A2_00_B_51_00_C3_00_D2_00.odb,-2.358,0.942,5.553,0.2805,0.2817,6.2656,1131.547,2.2532
job_A2_00_B_51_00_C3_00_D3_00.odb,-2.376,1.606,3.568,0.3019,0.3694,9.6798,863.0579,3.4159
job_A2_00_B_54_00_C2_00_D1_00.odb,-3.177,1.02,5.246,0.3673,0.2203,6.7562,1447.3052,2.4234
job_A2_00_B_54_00_C2_00_D2_00.odb,-1.521,1.001,4.445,0.2504,0.2993,7.7199,1065.1169,2.729
job_A2_00_B_54_00_C2_00_D3_00.odb,-2.555,1.069,3.224,0.3459,0.362,10.6438,880.6253,3.7461
job_A2_00_B_54_00_C2_00_D4_00.odb,-2.656,1.355,3.597,0.3376,0.345,9.5461,924.1204,3.3755
job_A2_00_B_54_00_C3_00_D3_00.odb,-2.269,1.505,3.462,0.2949,0.3796,9.8357,839.8074,3.4684
job_A2_00_B_57_00_C2_00_D1_00.odb,-2.866,0.995,5.003,0.3487,0.2303,7.0083,1384.2528,2.5038
job_A2_00_B_57_00_C2_00_D2_00.odb,-1.4,1.013,4.55,0.2469,0.2953,7.4832,1079.4558,2.6484
job_A2_00_B_57_00_C2_00_D3_00.odb,-2.073,1.091,3.296,0.3424,0.3618,10.2604,881.0948,3.6183
job_A2_00_B_57_00_C2_00_D4_00.odb,-2.747,1.292,3.442,0.3309,0.3762,9.8895,847.4296,3.4969
job_A2_00_B_57_00_C3_00_D3_00.odb,-2.314,1.588,3.595,0.2875,0.371,9.4445,859.1404,3.334
job_A2_00_B_60_00_C2_00_D1_00.odb,-2.844,1.05,5.238,0.3413,0.2328,6.6289,1369.301,2.377
job_A2_00_B_60_00_C2_00_D2_00.odb,-1.575,1.04,4.538,0.2454,0.2955,7.4358,1078.6492,2.6323
job_A2_00_B_60_00_C2_00_D3_00.odb,-2.21,1.15,3.568,0.3411,0.3681,9.4781,865.9583,3.3618
job_A2_00_B_60_00_C2_00_D4_00.odb,-2.676,1.259,3.549,0.324,0.3783,9.5267,842.6006,3.3756
job_A2_00_B_60_00_C3_00_D1_00.odb,-2.885,1.512,5.091,0.2782,0.2807,6.73,1135.5811,2.4053
job_A2_00_B_60_00_C3_00_D3_00.odb,-2.352,1.712,3.373,0.2919,0.401,9.9979,795.0353,3.5279
job_A3_00_B_30_00_C2_00_D1_00.odb,-5.561,0.852,3.695,0.3833,0.4309,9.8747,739.7273,3.5273
job_A3_00_B_30_00_C2_00_D3_00.odb,-6.355,1.275,5.041,0.4465,0.3284,7.2446,970.7231,2.6465
job_A3_00_B_30_00_C2_00_D4_00.odb,-3.47,0.824,3.299,0.4393,0.4214,10.6464,756.4522,3.7973
job_A3_00_B_33_00_C2_00_D1_00.odb,-5.385,0.92,3.613,0.3882,0.4186,9.9672,761.5178,3.5554
job_A3_00_B_33_00_C2_00_D2_00.odb,-1.466,0.589,2.398,0.35,0.5946,14.1305,536.1144,4.9748
job_A3_00_B_33_00_C2_00_D3_00.odb,-5.786,1.158,4.685,0.4507,0.3385,7.6844,941.7111,2.7963
job_A3_00_B_36_00_C2_00_D2_00.odb,-1.661,0.597,2.462,0.3582,0.6109,13.3783,521.8502,4.7346
job_A3_00_B_36_00_C2_00_D3_00.odb,-6.123,1.149,4.617,0.4583,0.3327,7.6375,958.3014,2.7814
job_A3_00_B_36_00_C2_00_D4_00.odb,-4.556,0.645,2.935,0.4278,0.4266,11.4944,747.2127,4.0751
job_A3_00_B_39_00_C2_00_D1_00.odb,-4.553,0.836,3.797,0.3939,0.4546,8.972,701.2839,3.2407
job_A3_00_B_39_00_C2_00_D2_00.odb,-1.788,0.618,2.616,0.3586,0.6209,12.3785,513.418,4.4081
job_A3_00_B_39_00_C2_00_D3_00.odb,-6.016,1.122,4.505,0.4632,0.3302,7.7198,965.5432,2.8093
job_A3_00_B_39_00_C2_00_D4_00.odb,-4.541,0.673,2.767,0.4257,0.4312,12.0301,739.347,4.2527
job_A3_00_B_42_00_C2_00_D1_00.odb,-4.793,0.908,4.133,0.3843,0.4266,8.294,747.23,3.0046
job_A3_00_B_42_00_C2_00_D3_00.odb,-5.993,1.123,4.31,0.4451,0.3335,8.0215,955.7943,2.904
job_A3_00_B_42_00_C2_00_D4_00.odb,-4.617,0.732,2.767,0.4174,0.416,11.9836,766.2551,4.2296
job_A3_00_B_45_00_C2_00_D1_00.odb,-4.402,0.902,3.862,0.3923,0.4482,8.5841,711.2682,3.1101
job_A3_00_B_45_00_C2_00_D3_00.odb,-5.564,1.042,3.898,0.4595,0.3553,8.537,897.211,3.0861
job_A3_00_B_48_00_C2_00_D1_00.odb,-4.282,0.918,3.813,0.3945,0.4671,8.4905,682.5305,3.0862
job_A3_00_B_51_00_C2_00_D1_00.odb,-4.31,0.907,4.13,0.3953,0.448,7.8181,711.5987,2.8583
job_A3_00_B_54_00_C2_00_D1_00.odb,-4.192,0.928,3.853,0.4009,0.4623,8.1702,689.5583,2.981
job_A3_00_B_57_00_C2_00_D1_00.odb,-4.111,0.942,3.833,0.4001,0.4695,8.1104,678.9935,2.9634
job_A4_00_B_30_00_C2_00_D1_00.odb,-12.069,0.716,4.53,0.3391,0.3613,8.0991,882.3421,2.9038
job_A4_00_B_30_00_C2_00_D3_00.odb,-9.986,1.238,6.293,0.3538,0.2631,5.9173,1211.6926,2.1563
job_A4_00_B_30_00_C3_00_D1_00.odb,-15.575,1.424,6.287,0.3241,0.2264,6.2622,1407.962,2.2482
job_A4_00_B_33_00_C2_00_D1_00.odb,-12.01,0.734,4.56,0.3404,0.3469,7.9962,918.8304,2.8656
job_A4_00_B_33_00_C2_00_D3_00.odb,-10.34,1.303,7.352,0.3466,0.2506,5.0643,1271.9642,1.8683
job_A4_00_B_33_00_C3_00_D1_00.odb,-15.428,1.55,6.222,0.3273,0.2134,6.3001,1493.5625,2.2575
job_A4_00_B_36_00_C2_00_D1_00.odb,-11.406,0.765,4.654,0.3429,0.3352,7.7565,950.9181,2.7834
job_A4_00_B_36_00_C2_00_D3_00.odb,-9.758,1.259,6.56,0.3376,0.2606,5.6174,1223.1792,2.0512
job_A4_00_B_36_00_C3_00_D1_00.odb,-16.042,1.621,6.73,0.3271,0.206,5.8004,1547.8195,2.0901
job_A4_00_B_39_00_C2_00_D1_00.odb,-10.705,0.798,4.652,0.347,0.3235,7.6648,985.4031,2.7506
job_A4_00_B_39_00_C2_00_D3_00.odb,-9.088,1.344,6.255,0.3355,0.2535,5.8444,1257.4489,2.123
job_A4_00_B_39_00_C3_00_D1_00.odb,-16.313,1.696,6.844,0.327,0.1932,5.6775,1649.8081,2.0453
job_A4_00_B_42_00_C2_00_D1_00.odb,-12.358,1.246,5.963,0.3169,0.2536,6.1275,1257.1454,2.2103
job_A4_00_B_42_00_C2_00_D3_00.odb,-8.731,1.357,6.885,0.3378,0.2399,5.2864,1328.7212,1.9352
job_A4_00_B_45_00_C2_00_D1_00.odb,-11.946,1.286,6.244,0.3147,0.2278,5.8502,1399.5892,2.1096
job_A4_00_B_45_00_C2_00_D3_00.odb,-8.239,1.458,7.023,0.3382,0.2279,5.1486,1398.4829,1.8859
job_A4_00_B_48_00_C2_00_D1_00.odb,-11.77,1.338,6.3,0.3191,0.223,5.7638,1429.2738,2.081
