Category,A,B,C,Volume,vol_reduce(%),Clean_Comp_MPa,Clean_Tens_MPa,Max_Disp_mm,Phi_Comp,Gamma_Allie,Omega_Stiff,ALLIE,SEI_J_Index,Phi_Comp_Norm,Gamma_Allie_Norm,Omega_Stiff_Norm,vol_reduce(%)_Norm,SEI_J_Index_Rigorous,SEI_Score_100
S,1.0,44.0,0.0,12.009095,31.38,-4.924,1.899,5.118,0.1582,0.5816,5.7994,548.0739,2.1579,0.0868,0.2995,0.0995,0.9079,0.3981,39.81
S,1.0,44.0,0.0,13.054414,25.4,-4.924,1.899,5.118,0.1582,0.5816,5.335,548.0739,2.0047,0.0868,0.2995,0.075,0.7696,0.3479,34.79
S,1.0,44.0,5.0,11.806042,32.54,-9.604,2.731,7.718,0.153,0.3259,3.9119,978.2346,1.449,0.0548,0.0116,0.0,0.9348,0.3318,33.18
S,1.0,44.0,10.0,12.388584,29.21,-6.143,1.8,6.167,0.1552,0.4576,4.6655,696.6124,1.7418,0.0683,0.1599,0.0397,0.8577,0.3419,34.19
S,1.0,44.0,15.0,12.875172,26.43,-5.264,2.077,5.653,0.1611,0.5279,4.8974,603.8086,1.8435,0.1046,0.239,0.052,0.7934,0.3478,34.78
S,1.0,48.0,0.0,11.953733,31.69,-5.089,1.856,5.129,0.1572,0.5742,5.8138,555.2153,2.1599,0.0806,0.2912,0.1003,0.9151,0.3971,39.71
S,1.0,48.0,0.0,13.011576,25.65,-5.089,1.856,5.129,0.1572,0.5742,5.3411,555.2153,2.0039,0.0806,0.2912,0.0754,0.7754,0.3464,34.64
S,1.0,48.0,5.0,12.138952,30.63,-8.355,2.032,6.105,0.1584,0.42,4.8098,759.0756,1.7781,0.088,0.1176,0.0473,0.8906,0.3537,35.37
S,1.0,48.0,10.0,12.77365,27.01,-5.56,1.878,5.357,0.1493,0.5303,5.209,601.1201,1.9432,0.032,0.2418,0.0684,0.8068,0.3313,33.13
S,1.0,48.0,15.0,12.982639,25.81,-5.222,1.838,5.137,0.1573,0.5712,5.3447,558.1169,2.0042,0.0812,0.2878,0.0756,0.7791,0.3473,34.73
S,1.0,48.0,20.0,12.908677,26.24,-5.476,1.915,5.273,0.1583,0.5507,5.2367,578.8999,1.9621,0.0874,0.2647,0.0699,0.789,0.3479,34.79
